,Entity,Code,Year,TonsPerPerson,KiloPerWeek
912,Iran,IRN,2010,-5.550000000000001,-106.43835616438358
1725,Serbia,SRB,2010,-5.010000000000002,-96.08219178082194
1220,Maldives,MDV,2010,-5.000000000000002,-95.89041095890414
450,China,CHN,2010,-4.610000000000001,-88.4109589041096
1099,Lebanon,LBN,2010,-3.9000000000000004,-74.79452054794521
604,Eastern Asia,,2010,-3.66,-70.1917808219178
1533,Oman,OMN,2010,-3.1000000000000014,-59.45205479452057
1610,Poland,POL,2010,-2.9299999999999997,-56.191780821917796
285,Brunei,BRN,2010,-2.8800000000000026,-55.23287671232882
1264,Mauritius,MUS,2010,-2.6900000000000013,-51.58904109589044
1209,Malaysia,MYS,2010,-2.0199999999999996,-38.73972602739725
439,Chile,CHL,2010,-1.9700000000000024,-37.78082191780827
263,Botswana,BWA,2010,-1.9400000000000013,-37.205479452054824
1000,Kazakhstan,KAZ,2010,-0.9800000000000004,-18.79452054794521
945,Israel,ISR,2010,-0.8100000000000023,-15.534246575342511
681,Estonia,EST,2010,-0.7600000000000016,-14.575342465753454
956,Italy,ITA,2010,-0.19000000000000128,-3.643835616438381
197,Belgium,BEL,2010,-0.10000000000000142,-1.9178082191781092
